,drug_name,section,ade_type,n_manual,n_gpt,tp,fp,fn,precision,recall,f1
340,ADREVIEW,all-concat,all,14,55,7,48.0,7,0.12727272727272726,0.5,0.2028985507246377
341,ADREVIEW,all-concat,exact-meddra,9,55,7,,2,,0.7777777777777778,
342,ADREVIEW,all-concat,non-meddra,5,55,0,,5,,0.0,
343,ADREVIEW,all-concat,discontinuous,3,55,0,,3,,0.0,
344,DOTAREM,adverse reactions,all,59,89,50,39.0,9,0.5617977528089888,0.847457627118644,0.6756756756756757
345,DOTAREM,adverse reactions,exact-meddra,54,89,50,,4,,0.9259259259259259,
346,DOTAREM,adverse reactions,non-meddra,5,89,0,,5,,0.0,
347,DOTAREM,adverse reactions,negated,1,89,0,,1,,0.0,
348,DOTAREM,adverse reactions,discontinuous,4,89,0,,4,,0.0,
349,DOTAREM,warnings and precautions,all,16,36,7,29.0,9,0.19444444444444445,0.4375,0.2692307692307693
350,DOTAREM,warnings and precautions,exact-meddra,7,36,7,,0,,1.0,
351,DOTAREM,warnings and precautions,non-meddra,9,36,0,,9,,0.0,
352,DOTAREM,warnings and precautions,discontinuous,5,36,0,,5,,0.0,
353,DOTAREM,boxed warnings,all,4,12,2,10.0,2,0.16666666666666666,0.5,0.25
354,DOTAREM,boxed warnings,exact-meddra,2,12,2,,0,,1.0,
355,DOTAREM,boxed warnings,non-meddra,2,12,0,,2,,0.0,
356,DOTAREM,all-concat,all,71,112,55,57.0,16,0.49107142857142855,0.7746478873239436,0.6010928961748634
357,DOTAREM,all-concat,exact-meddra,59,112,55,,4,,0.9322033898305084,
358,DOTAREM,all-concat,non-meddra,12,112,0,,12,,0.0,
359,DOTAREM,all-concat,negated,1,112,0,,1,,0.0,
360,DOTAREM,all-concat,discontinuous,9,112,0,,9,,0.0,
361,PRADAXA,adverse reactions,all,59,77,34,43.0,25,0.44155844155844154,0.576271186440678,0.5
